round,category,operation,inner_iterations,mean_us
16,crypto,ECDH-P256 shared secret,300,38.513
16,crypto,ECC-P256 key generation,80,12.2875
16,crypto,X25519 shared secret,600,23.35083333333333
16,crypto,RSA-2048 sign,50,442.072
16,crypto,RSA-2048 verify,300,16.962333333333333
16,hash_path,Merkle-style hash-path lookup N=1,1000,0.8905
16,hash_path,Merkle-style hash-path update N=1,1000,2.2222
16,hash_path,Merkle-style hash-path lookup N=10,1000,2.7346
16,hash_path,Merkle-style hash-path update N=10,1000,4.1918
16,hash_path,Merkle-style hash-path lookup N=50,1000,4.0118
16,hash_path,Merkle-style hash-path update N=50,1000,5.4527
16,hash_path,Merkle-style hash-path lookup N=100,1000,4.5123999999999995
16,hash_path,Merkle-style hash-path update N=100,1000,5.879899999999999
16,hash_path,Merkle-style hash-path lookup N=200,1000,4.9567
16,hash_path,Merkle-style hash-path update N=200,1000,6.4306
16,hash_path,Merkle-style hash-path lookup N=500,1000,5.7701
16,hash_path,Merkle-style hash-path update N=500,1000,7.2284
16,hash_path,Merkle-style hash-path lookup N=1000,1000,6.4313
16,hash_path,Merkle-style hash-path update N=1000,1000,7.5255
17,crypto,SHA-256 (256 B),2000,1.11565
17,crypto,HMAC-SHA256 (256 B),2000,1.6206500000000001
17,crypto,AES-128-GCM encrypt (256 B),2000,0.5857
17,crypto,AES-128-GCM decrypt (256 B),2000,0.64755
17,crypto,ECDSA-P256 sign,300,18.59933333333333
17,crypto,ECDSA-P256 verify,300,48.348
17,crypto,ECDH-P256 shared secret,300,36.342666666666666
17,crypto,ECC-P256 key generation,80,11.93
17,crypto,X25519 shared secret,600,22.013
17,crypto,RSA-2048 sign,50,422.204
17,crypto,RSA-2048 verify,300,19.846
17,hash_path,Merkle-style hash-path lookup N=1,1000,0.964
17,hash_path,Merkle-style hash-path update N=1,1000,2.089
17,hash_path,Merkle-style hash-path lookup N=10,1000,2.5014000000000003
17,hash_path,Merkle-style hash-path update N=10,1000,3.8644000000000003
17,hash_path,Merkle-style hash-path lookup N=50,1000,3.8679
17,hash_path,Merkle-style hash-path update N=50,1000,5.065300000000001
17,hash_path,Merkle-style hash-path lookup N=100,1000,4.2055
17,hash_path,Merkle-style hash-path update N=100,1000,5.6465
17,hash_path,Merkle-style hash-path lookup N=200,1000,4.9127
17,hash_path,Merkle-style hash-path update N=200,1000,6.2763
17,hash_path,Merkle-style hash-path lookup N=500,1000,5.4616999999999996
17,hash_path,Merkle-style hash-path update N=500,1000,6.9394
17,hash_path,Merkle-style hash-path lookup N=1000,1000,5.961
17,hash_path,Merkle-style hash-path update N=1000,1000,7.4662
18,crypto,SHA-256 (256 B),2000,1.1126500000000001
18,crypto,HMAC-SHA256 (256 B),2000,1.61325
18,crypto,AES-128-GCM encrypt (256 B),2000,0.6339
18,crypto,AES-128-GCM decrypt (256 B),2000,0.6251
18,crypto,ECDSA-P256 sign,300,19.154
18,crypto,ECDSA-P256 verify,300,48.96633333333334
18,crypto,ECDH-P256 shared secret,300,39.065666666666665
18,crypto,ECC-P256 key generation,80,14.96875
18,crypto,X25519 shared secret,600,22.7085
18,crypto,RSA-2048 sign,50,422.502
18,crypto,RSA-2048 verify,300,16.092
18,hash_path,Merkle-style hash-path lookup N=1,1000,0.799
18,hash_path,Merkle-style hash-path update N=1,1000,2.0536999999999996
18,hash_path,Merkle-style hash-path lookup N=10,1000,2.5806
18,hash_path,Merkle-style hash-path update N=10,1000,4.0301
18,hash_path,Merkle-style hash-path lookup N=50,1000,3.634
18,hash_path,Merkle-style hash-path update N=50,1000,4.9498999999999995
18,hash_path,Merkle-style hash-path lookup N=100,1000,4.3836
18,hash_path,Merkle-style hash-path update N=100,1000,5.8843000000000005
18,hash_path,Merkle-style hash-path lookup N=200,1000,4.7738000000000005
18,hash_path,Merkle-style hash-path update N=200,1000,6.3553999999999995
18,hash_path,Merkle-style hash-path lookup N=500,1000,5.3688
18,hash_path,Merkle-style hash-path update N=500,1000,7.0513
18,hash_path,Merkle-style hash-path lookup N=1000,1000,6.2717
18,hash_path,Merkle-style hash-path update N=1000,1000,7.400399999999999
19,crypto,SHA-256 (256 B),2000,1.18105
19,crypto,HMAC-SHA256 (256 B),2000,1.65125
